"id_examen";"nombre_examen";"lk_grupo";"activo";"unidad";"minimo";"maximo";"es_pedido";"es_resultado";"lk_padre"
"1";"Biometría Hemática";"1";"1";NULL;NULL;NULL;"1";"0";NULL
"2";"Reticulocitos";"1";"1";"%";"0.5";"1.5";"1";"1";NULL
"3";"Sedimentacíon";"1";"1";"mm/h";"0";"20";"1";"1";NULL
"4";"Hemoparásitos";"1";"1";NULL;NULL;NULL;"1";"1";NULL
"5";"Hematrocito";"1";"1";"%";"37";"52";"1";"1";"1"
"6";"Plaquetas";"1";"1";"10^3/µL";"150";"450";"1";"1";"1"
"7";"Fóruma Leucocitaria";"1";"1";NULL;NULL;NULL;"1";"0";"1"
"8";"Grupo Sanguíneo";"1";"1";NULL;NULL;NULL;"1";"1";NULL
"9";"TP";"2";"1";"seg";"11";"14";"1";"1";NULL
"10";"Tiempo Trombina";"2";"1";"seg";"14";"21";"1";"1";NULL
"11";"Tiempo Coagulación";"2";"1";"min";"5";"10";"1";"1";NULL
"12";"Tiempo Hemorragia";"2";"1";"min";"1";"7";"1";"1";NULL
"13";"Coombs Directo";"2";"1";NULL;NULL;NULL;"1";"1";NULL
"14";"Retracción de coágulo";"2";"1";NULL;NULL;NULL;"1";"1";NULL
"15";"TTP";"2";"1";"seg";"25";"35";"1";"1";NULL
"16";"INR";"2";"1";"Índice";"0.8";"1.2";"1";"1";NULL
"17";"Fibrinógeno";"2";"1";"mg/dL";"200";"400";"1";"1";NULL
"18";"Antitrombina III";"2";"1";"%";"80";"120";"1";"1";NULL
"19";"Indirecto";"2";"1";NULL;NULL;NULL;"1";"1";NULL
"20";"Dímero D";"2";"1";"ng/mL";"0";"500";"1";"1";NULL
"21";"Anticoagulante Lúpico";"2";"1";NULL;NULL;NULL;"1";"1";NULL
"22";"Glucosa Ayunas";"3";"1";"mg/dL";"70";"100";"1";"1";NULL
"23";"Glucosa Postprandial";"3";"1";"mg/dL";"70";"140";"1";"1";NULL
"24";"Curva de Glucosa  (        ) Horas";"3";"1";NULL;NULL;NULL;"1";"0";NULL
"25";"Urea";"3";"1";"mg/dL";"15";"45";"1";"1";NULL
"26";"BUN";"3";"1";"mg/dL";"7";"20";"1";"1";NULL
"27";"Creatinina";"3";"1";"mg/dL";"0.6";"1.2";"1";"1";NULL
"28";"Ácido Urico";"3";"1";"mg/dL";"3.5";"7.2";"1";"1";NULL
"29";"Lípidos Totales ( Col - Tg - HDL - LDL )";"3";"1";NULL;NULL;NULL;"1";"0";NULL
"30";"Colesterol";"3";"1";"mg/dL";"0";"200";"1";"1";NULL
"31";"HDL - Colesterol";"3";"1";"mg/dL";"40";"100";"1";"1";NULL
"32";"LDL - Colesterol";"3";"1";"mg/dL";"0";"100";"1";"1";NULL
"33";"Triglicéridos";"3";"1";"mg/dL";"35";"150";"1";"1";NULL
"34";"Apolipoproteína A";"3";"1";"mg/dL";"110";"205";"1";"1";NULL
"35";"Apolipoproteína B";"3";"1";"mg/dL";"55";"140";"1";"1";NULL
"36";"VLDL";"3";"1";"mg/dL";"5";"40";"1";"1";NULL
"37";"Bilirrubinas ( T - I - D)";"3";"1";NULL;NULL;NULL;"1";"0";NULL
"38";"Proteínas Totales";"3";"1";"g/dL";"6.0";"8.3";"1";"1";NULL
"39";"Albúmina Globulina";"3";"1";NULL;NULL;NULL;"1";"0";NULL
"40";"Hb glicosilada";"3";"1";"%";"4.0";"5.6";"1";"1";NULL
"41";"Fructosamina";"3";"1";"µmol/L";"200";"285";"1";"1";NULL
"42";"Hierro";"3";"1";"µg/dL";"50";"170";"1";"1";NULL
"43";"Transferrina";"3";"1";"mg/dL";"200";"360";"1";"1";NULL
"44";"Ferritina";"3";"1";"ng/mL";"20";"250";"1";"1";NULL
"45";"TGO / AST";"3";"1";"U/L";"5";"34";"1";"1";NULL
"46";"TGP / ALT";"3";"1";"U/L";"7";"56";"1";"1";NULL
"47";"Gamma GT";"3";"1";"U/L";"9";"48";"1";"1";NULL
"48";"Fosfata Alcalina";"3";"1";"U/L";"40";"130";"1";"1";NULL
"49";"Fosfata Acida";"3";"1";"U/L";"0";"6.5";"1";"1";NULL
"50";"Fosfata Acida Prostática";"3";"1";"ng/mL";"0";"3.5";"1";"1";NULL
"51";"Amilasa";"3";"1";"U/L";"30";"110";"1";"1";NULL
"52";"Lipasa";"3";"1";"U/L";"10";"60";"1";"1";NULL
"53";"Glucosa 6 Fosfato DH";"3";"1";"U/gHb";"7";"20";"1";"1";NULL
"54";"Deshdogenasa láctica";"3";"1";"U/L";"140";"280";"1";"1";NULL
"55";"Colinesterasa";"3";"1";"U/L";"4900";"11900";"1";"1";NULL
"56";"Vitamina B12";"3";"1";"pg/mL";"200";"900";"1";"1";NULL
"57";"Ácido Fólico";"3";"1";"ng/mL";"3";"17";"1";"1";NULL
"58";"Indice de Saturación";"3";"1";"%";"20";"50";"1";"1";NULL
"59";"CPK";"3";"1";"U/L";"30";"200";"1";"1";NULL
"60";"CPK - MB";"3";"1";"U/L";"0";"25";"1";"1";NULL
"61";"Troponina";"3";"1";"ng/mL";"0";"0.04";"1";"1";NULL
"62";"Aldolasa";"3";"1";"U/L";"1";"7.5";"1";"1";NULL
"63";"TSH";"4";"1";"µUI/mL";"0.4";"4.0";"1";"1";NULL
"64";"FSH";"4";"1";"mUI/mL";"1.5";"12.4";"1";"1";NULL
"65";"fT3";"4";"1";"pg/mL";"2.3";"4.2";"1";"1";NULL
"66";"fT4";"4";"1";"ng/dL";"0.8";"1.8";"1";"1";NULL
"67";"T3 Total";"4";"1";"ng/dL";"80";"200";"1";"1";NULL
"68";"T4 Total";"4";"1";"µg/dL";"5.0";"12.0";"1";"1";NULL
"69";"LH";"4";"1";"mUI/mL";"1.7";"8.6";"1";"1";NULL
"70";"Estrógenos";"4";"1";"pg/mL";"15";"350";"1";"1";NULL
"71";"Progesterona";"4";"1";"ng/mL";"0.2";"25";"1";"1";NULL
"72";"BHCG";"4";"1";"mUI/mL";"0";"5";"1";"1";NULL
"73";"Testosterona";"4";"1";"ng/dL";"280";"1100";"1";"1";NULL
"74";"Prolactina AM";"4";"1";"ng/mL";"4";"23";"1";"1";NULL
"75";"Prolactina PM";"4";"1";"ng/mL";"4";"23";"1";"1";NULL
"76";"Prolactina 10'";"4";"1";"ng/mL";"4";"23";"1";"1";NULL
"77";"Cortisol AM";"4";"1";"µg/dL";"6";"23";"1";"1";NULL
"78";"Cortisol PM";"4";"1";"µg/dL";"3";"13";"1";"1";NULL
"79";"Cortisol Orina 24H";"4";"1";"µg/24h";"10";"100";"1";"1";NULL
"80";"Insulina Ayunas";"4";"1";"µUI/mL";"2";"25";"1";"1";NULL
"81";"PP";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"82";"Curva de Insulina (        ) Hora";"4";"1";NULL;NULL;NULL;"1";"0";NULL
"83";"Péptido C";"4";"1";"ng/mL";"0.9";"4.3";"1";"1";NULL
"84";"Hormona Crecimiento ( HGH )";"4";"1";"ng/mL";"0";"10";"1";"1";NULL
"85";"IGF -1";"4";"1";"ng/mL";"100";"300";"1";"1";NULL
"86";"IgFBP3";"4";"1";"µg/mL";"2";"10";"1";"1";NULL
"87";"Paratohormona";"4";"1";"pg/mL";"15";"65";"1";"1";NULL
"88";"17 - OH - Progesterona";"4";"1";"ng/mL";"0.2";"1.3";"1";"1";NULL
"89";"Androstenediona";"4";"1";"ng/mL";"0.3";"3.3";"1";"1";NULL
"90";"DHEAS";"4";"1";"µg/dL";"80";"560";"1";"1";NULL
"91";"ACTH";"4";"1";"pg/mL";"7";"63";"1";"1";NULL
"92";"Test Estimulación HGH";"4";"1";NULL;NULL;NULL;"1";"0";NULL
"93";"Vitamina D25 Hidroxi";"4";"1";"ng/mL";"30";"100";"1";"1";NULL
"94";"Testosterona libre";"4";"1";"pg/mL";"8.7";"54.7";"1";"1";NULL
"95";"Anti Toxoplasma";"4";"1";NULL;NULL;NULL;"1";"0";NULL
"96";"Anti Toxoplasma IgG";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"97";"Anti Toxoplasma IgM";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"98";"Anti Rubeola";"4";"1";NULL;NULL;NULL;"1";"0";NULL
"99";"Anti Rubeola IgG";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"100";"Anti Rubeola IgM";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"101";"Anti CMV";"4";"1";NULL;NULL;NULL;"1";"0";NULL
"102";"Anti CMV IgG";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"103";"Anti CMV IgM";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"104";"Anti Herpes I";"4";"1";NULL;NULL;NULL;"1";"0";NULL
"105";"Anti Herpes I   IgG";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"106";"Anti Herpes I   IgM";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"107";"Anti Herpes II";"4";"1";NULL;NULL;NULL;"1";"0";NULL
"108";"Anti Herpes II    IgG";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"109";"Anti Herpes II    IgM";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"110";"TORCH";"4";"1";NULL;NULL;NULL;"1";"0";NULL
"111";"TORCH  IgG";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"112";"TORCH  IgM";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"113";"C3";"4";"1";"mg/dL";"90";"180";"1";"1";NULL
"114";"C4";"4";"1";"mg/dL";"10";"40";"1";"1";NULL
"115";"IgG";"4";"1";"mg/dL";"700";"1600";"1";"1";NULL
"116";"IgM";"4";"1";"mg/dL";"40";"230";"1";"1";NULL
"117";"IgE";"4";"1";"UI/mL";"0";"100";"1";"1";NULL
"118";"IgA";"4";"1";"mg/dL";"70";"400";"1";"1";NULL
"119";"IgD";"4";"1";"mg/dL";"0";"8";"1";"1";NULL
"120";"Toxoplasma avidez";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"121";"Interleucina-6";"4";"1";"pg/mL";"0";"7";"1";"1";NULL
"122";"Chlamidia IgG";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"123";"Chlamidia IgM";"4";"1";NULL;NULL;NULL;"1";"1";NULL
